"Story","Title","Result","Date","Stability","Duration (s)"
"CRUD test pet","This will create a new Pet","SUCCESS","2023-01-03T23:20:02.629Z[Europe/London]","0.0","4.79"
"CRUD test pet","This will get a Pet by id","SUCCESS","2023-01-03T23:20:07.439Z[Europe/London]","0.0","0.56"
"CRUD test pet","This will update a new Pet","SUCCESS","2023-01-03T23:20:07.996Z[Europe/London]","0.0","0.63"
"CRUD test pet","This will delete a Pet","SUCCESS","2023-01-03T23:20:08.630Z[Europe/London]","0.0","0.98"
"CRUD test user","This will create a new user","SUCCESS","2023-01-03T23:20:11.183Z[Europe/London]","0.0","0.52"
"CRUD test user","Verify is the user was added to the database","SUCCESS","2023-01-03T23:20:11.700Z[Europe/London]","0.0","0.61"
"CRUD test user","Update the user information and verify the updated information","SUCCESS","2023-01-03T23:20:12.310Z[Europe/London]","0.0","1.0"
"CRUD test user","Delete the user and verify if the user is deleted!","SUCCESS","2023-01-03T23:20:13.316Z[Europe/London]","0.0","0.99"
